Name,Description,Price,Rating,StockQuantity,CategoryId
Stainless Steel Knife Set,"Chef's knife, paring knife, and bread knife set",2499,4.8,60,1
Silicone Baking Mat,"Non-stick, reusable mat for baking sheets",499,4.9,150,1
Cast Iron Skillet,"12-inch pre-seasoned skillet for searing",1999,4.7,45,1
Digital Meat Thermometer,"Instant-read thermometer for grilling and cooking",799,4.6,110,1
Glass Mixing Bowl Set,"Set of 3 nested bowls with lids",999,4.8,80,1
Electric Hand Mixer,"5-speed mixer with beater and whisk attachments",1499,4.5,75,1
Air Fryer Liners,"Pack of 100 disposable parchment paper liners",299,4.9,300,1
Rolling Pin,"Marble rolling pin with wooden handles",899,4.7,65,1
Measuring Cups and Spoons,"Set of 8, stainless steel",599,4.9,250,1
Colander,"5-quart stainless steel colander with handles",649,4.6,130,1
Can Opener,"Smooth-edge manual can opener",499,4.4,100,1
Whisk,"Silicone-coated balloon whisk, 10-inch",249,4.8,280,1
Potato Peeler,"Y-shaped vegetable peeler with ergonomic handle",199,4.9,350,1
Garlic Press,"Heavy-duty stainless steel garlic mincer",399,4.7,180,1
Oven Mitts,"Set of 2 heat-resistant silicone oven mitts",449,4.8,160,1
Kitchen Shears,"Multi-purpose heavy-duty scissors",349,4.6,190,1
Grater,"4-sided box grater for cheese and vegetables",499,4.5,140,1
Pizza Cutter,"Stainless steel pizza wheel with comfort grip",299,4.7,210,1
Ice Cream Scoop,"Durable metal scoop with trigger release",399,4.8,170,1
Salad Spinner,"Large capacity lettuce and vegetable spinner",899,4.6,85,1
Velvet Throw Blanket,"50x60 inch soft, plush blanket for sofa",1599,4.8,80,2
Set of 3 Botanical Prints,"Frameless wall art for bedroom or living room",999,4.6,110,2
Woven Seagrass Basket,"Storage basket for plants or laundry",799,4.9,95,2
Ceramic Diffuser,"Ultrasonic essential oil diffuser with 7 light modes",1899,4.7,60,2
Floating Picture Ledge,"36-inch white shelf for photos and decor",1299,4.5,100,2
Decorative Wooden Tray,"Round tray for coffee table centerpiece",899,4.8,120,2
Hourglass Sand Timer,"15-minute decorative sand timer",599,4.6,130,2
Faux Fur Rug,"2x3 feet small, soft accent rug",1199,4.9,70,2
Set of 2 Linen Curtains,"Semi-sheer window curtains, 84-inch length",2299,4.7,55,2
Table Runner,"14x72 inch burlap table runner",499,4.5,200,2
Pampas Grass Decor,"3 tall stems of natural dried pampas grass",699,4.8,150,2
Geometric Bookshelf,"5-tier modern metal and wood bookshelf",4999,4.6,30,2
Candle Holder Set,"Set of 3 metal pillar candle holders",999,4.9,80,2
Wall Mirror,"24-inch round mirror with gold frame",2999,4.8,40,2
Knit Pouf Ottoman,"Round, hand-knitted floor pouf",2499,4.7,50,2
Storage Ottoman Bench,"Linen upholstered bench with storage",3499,4.5,35,2
Vintage Style Map,"Framed world map wall decor",1799,4.8,60,2
Desk Organizer,"Wooden desktop organizer with drawers",1399,4.6,90,2
Jewelry Box,"Velvet-lined box with multiple compartments",1199,4.9,100,2
Magazine Holder,"Metal wire rack for magazines and files",699,4.7,130,2
Industrial Style Floor Lamp,"Matte black lamp with Edison bulb",3999,4.7,30,3
Smart WiFi Plug,"Control any appliance from your phone, pack of 2",1299,4.5,120,3
Bluetooth Speaker,"Portable waterproof speaker with 12-hour battery",2999,4.6,70,3
Sunrise Alarm Clock,"Wake-up light with sunrise simulation and nature sounds",2799,4.4,50,3
LED Desk Lamp,"Adjustable gooseneck lamp with 3 brightness levels",999,4.8,140,3
Power Strip with USB,"Surge protector with 6 outlets and 4 USB ports",1199,4.9,200,3
Wireless Charger,"15W fast wireless charging pad for smartphones",1399,4.6,180,3
Noise Cancelling Headphones,"Over-ear Bluetooth headphones with active noise cancellation",5999,4.7,40,3
Portable Power Bank,"10000mAh slim power bank with 2 ports",1499,4.8,160,3
Smart Light Strip,"5-meter RGB LED strip with app control",1799,4.5,100,3
Webcam with Microphone,"1080p HD webcam for video conferencing",2499,4.6,90,3
Electric Toothbrush,"Sonic toothbrush with 5 modes and 2 heads",1999,4.9,80,3
Digital Photo Frame,"10-inch WiFi frame, share photos via app",6999,4.7,25,3
Robot Vacuum Cleaner,"Smart vacuum with mapping and app control",14999,4.8,15,3
Air Purifier,"HEPA filter air purifier for small rooms",7999,4.6,30,3
Electric Screwdriver Set,"Cordless rechargeable screwdriver with bits",1599,4.5,70,3
Laptop Stand,"Adjustable aluminum stand for laptops up to 15-inch",999,4.9,130,3
USB C Hub,"7-in-1 adapter with HDMI, USB 3.0, and SD card reader",1899,4.7,110,3
